,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Albania,0.14443332196518938,-0.7293347480184392,-0.31732647491768984,-0.5363228976981415,0.07171146315621997,-0.3910848695660096,-0.2732208277151855,0.5272031340006932,0.4854399186014214,-0.5901259806229125,0.4219522363128475,1.0605530571019983,-1.3994737002912976,0.2315682977273657,0.6476023920163387,-0.7555516271535121,1.1009968947719695
Algeria,-0.38056973893622037,0.28756729304627776,-1.077915088168991,-0.7257652978746907,0.5207976624327635,-1.4454102384514569,0.5542640731340258,0.3175556437171173,-1.2220604971934645,-1.5130792728215297,-0.37653059442898995,0.4292119723285024,1.36342976001181,-0.32208748409643934,-1.1917871854262387,0.860216340364958,0.7644069474567107
Armenia,0.010323488015428721,-0.8142901127931857,-0.527006725131483,-0.48298659974399494,-1.2042475181677998,-0.8224215854903685,-0.4348220029446683,-0.4568543165306384,1.225321107399574,-0.6477727691617157,-0.0014630226682713925,-1.1056202047644461,-0.7211337839579263,1.0767111916169403,-0.3739997990272984,0.15086388996232059,0.41318567404043316
Azerbaijan,-0.13255096416992723,0.10729711238944205,-0.41197421399297435,-0.744766059569561,-0.3544991353758635,-0.6647777461551905,-0.8470990188040365,0.6427452694391649,0.2841632221446957,-0.8453533596571674,-1.237528187848419,-0.8822733457628157,-2.4617655970728607,-0.47602749002935546,2.0638165920099865,-0.8021159063245341,-2.6191313157938922
Bahrain,1.55470632595051,3.2963473877257465,-0.758086271634596,-0.231058181488344,-1.2849431504056434,1.430728779335863,-0.06682640303823717,1.2735535987691902,1.3028375071998575,-0.7516193260749667,0.07691382096655817,1.7114937777710502,2.09699865684914,4.320632331072698,0.6004957923909857,-2.2772472657842573,-0.6037757890742804
Bangladesh,-1.5297044502656247,0.04811067380306854,-0.19189707143664406,-2.560089566999156,-0.11847667153897887,1.969344105187867,0.6370648794530193,-2.3864321961304373,0.411671777991882,-0.6375202249261132,-0.8251095346794303,0.5872844925144424,-0.39974793766011607,-0.14540119314287042,-0.3365553985725642,-0.8488671546648006,1.0913763445061786
Belarus,0.10235550630610071,-0.268289883962326,0.2637965299235908,1.3211097973193748,-2.053787633091948,0.36603700476975926,3.937310926516121,-0.03481645059042647,0.5162132677384613,0.9742086566536297,1.6188317289856407,-0.5610129746155171,-1.0886119362510067,-0.2950518920999864,0.4069899785993765,-0.9367234759139685,-0.5130426913023102
Bosnia and Herzegovina,0.33200873196240804,-1.0666721732333893,0.5389301489040454,-0.5240290020792109,-0.49548281926662185,0.26898799701823545,-1.2415032611299315,0.8160298995970343,0.22855140420591633,0.01162295558063592,0.32427053114425786,0.8550620985884777,-0.29683272669472643,0.6381766686665566,-1.2433200156585595,-0.229865406417885,0.266072094697331
Brazil,0.3056222468237233,-0.7363202501701923,0.16000695513624288,1.8757274199423772,0.7339599688607884,0.6319845905362567,1.1386708280559916,-0.41997715714582007,0.7892177873805498,0.7604369518320084,-0.2347259660558805,0.47972753215249053,0.1868959550414782,-0.45833063409487673,0.3825543377294171,-0.11662773169388951,-1.4940228479086313
Bulgaria,0.5682201341019764,-0.5899759725974282,0.41824718657104476,-0.12036978357657718,-0.36644247697869475,-0.2803901491103097,-0.7632676747075753,0.594168972568719,1.1764251799158578,-0.671306645159099,-0.7904564860222075,0.2603630975509384,0.9294935983365367,0.9913247135640282,-1.7329424402867268,0.9881824084473838,-1.1387468666670122
Chile,0.7287565653239385,-0.17029967515090427,-0.1040899785044569,0.20085463009162766,0.05218768380847764,-0.7531428172375715,1.3046806440923613,-0.4975933346730894,0.4802088937808422,-0.5392998186682516,0.26012831684251053,0.2501445472572694,0.4388963658786811,0.05018961396382492,-0.4610844309426215,0.06402861873951639,1.3016727908181132
China,0.020787686374084888,0.03525741257873881,-0.6633665298494867,-0.8635999140894245,-0.301308407131923,0.1719096530251229,-0.5346983813048277,0.6424471397983234,0.18914456820029488,0.34699266538761625,0.31264364878363166,1.6069058093425284,-1.4164203822735875,0.6296549228253872,-0.6372111702041531,0.5484984049424086,0.6704085627422256
Colombia,-0.07028675161437647,-0.801049636734973,-0.2954641560918475,1.385831729631816,1.0086163491426072,0.452158443700291,0.09852318409399795,0.2579075704596287,0.8294889969472691,-0.04771274785700484,-1.3291833771921182,0.3347763958983908,-0.885859256641207,-0.02577068950204651,0.44458240195705856,0.7092070896650887,-0.9808769853963873
