,homicidiesper100k,electricity,Schooling,HIV.AIDS,wateraccess,tuberculosis,inflation,healthexppercapita,fertilityrate,lifeexp,internet,gdppercapita,CO2,forest,urbanpop,urbanpopgrowth,leastdeveloped
Malta,1.409873816,4924.544019,14.3,0.1,100.0,12.0,0.310306472,2382.188812,1.38,82.04634146,73.17,25811.878,6.135444654,1.093749981,94.347,0.897130804,0.0
Mauritius,1.511272101,2182.509156,14.7,0.1,99.9,13.0,3.21769192,665.2044395,1.43,74.19439024,44.80327537,10153.93822,3.06151228,18.99507457,41.111,0.054916975,0.0
Mexico,16.10830967,2090.175944,13.1,0.1,96.1,21.0,4.018616081,852.5249337,2.243,76.753,44.39,10582.41053,4.141036228,34.01918854,78.993,1.879448869,0.0
Mongolia,7.284800827,2017.513619,14.8,0.1,64.2,428.0,12.22544812,296.453602,2.811,68.847,19.94244743,4181.583313,6.404190274,8.14264018,68.163,2.616864261,0.0
Morocco,1.034440095,901.1284488,12.1,0.1,85.3,101.0,0.442310054,348.5596895,2.555,75.309,56.8,3160.250851,1.681577258,12.63723952,60.256,2.262793652,0.0
Myanmar,2.368838473,216.7776086,9.1,0.3,80.5,369.0,5.046410888,83.38467545,2.256,66.285,11.52,1260.418504,0.25837073,45.30440435,29.65,1.429152175,1.0
Nepal,1.970113519,139.1436806,12.4,0.1,90.7,158.0,8.364154697,92.84006496,2.218,69.511,15.44,706.2386977,0.173226201,25.3644925,18.182,3.155435221,1.0
Nicaragua,8.729635216,580.4791722,11.6,0.1,86.9,55.0,6.035968618,279.8622021,2.264,74.884,17.6,1975.464707,0.803146445,25.87668273,57.7,1.58359384,0.0
Oman,0.656412328,6553.519696,13.7,0.1,93.4,10.0,1.022343145,1107.479479,2.799,76.578,70.22,20469.13865,15.4718529,0.006462036,80.145,5.921114145,0.0
Pakistan,7.155089095,471.0415689,7.8,0.1,91.3,270.0,7.189384028,114.1621255,3.617,66.139,12.0,1316.980966,0.932716523,1.965286426,35.819,2.660603749,0.0
Panama,14.5492325,2062.763545,13.0,0.1,94.4,47.0,2.630931154,1063.956903,2.565,77.61,44.92,12787.3062,2.37765682,62.32714423,66.371,2.233500475,0.0
Paraguay,8.820947583,1563.505329,12.3,0.2,96.6,39.0,5.028827675,446.1120445,2.542,72.913,43.0,6146.664055,0.771797338,39.3868623,60.474,1.925631684,0.0
Peru,6.702535347,1307.510966,13.4,0.1,86.3,121.0,3.244963042,450.7176362,2.456,74.518,40.2,6492.053208,1.664377894,57.92234497,77.173,1.60542457,0.0
Philippines,9.746034777,699.2050698,11.7,0.1,91.5,546.0,3.597823439,228.5449198,2.992,68.813,49.6,2842.938353,0.895285238,26.1595734,46.093,1.738166883,0.0
Poland,0.736425869,3971.799761,16.4,0.1,98.3,20.0,0.053821313,1253.591968,1.32,77.60243902,66.6,14345.18606,8.057719914,30.74496164,60.403,-0.235136046,0.0
Portugal,0.878603036,4662.6008,16.8,0.1,100.0,24.0,-0.278153367,2465.700135,1.23,81.12195122,64.59,22077.53613,5.011502092,34.86031479,62.936,0.927707748,0.0
Romania,1.492033941,2584.411787,14.7,0.1,100.0,86.0,1.068309877,827.652101,1.56,74.9097561,54.08,10026.97358,4.226896176,29.51929679,53.9,-0.586077227,0.0
Singapore,0.256958906,8844.687593,15.4,0.1,100.0,46.0,1.024982528,2287.167183,1.25,82.49512195,79.02923586,56957.07857,8.428762263,23.06064884,100.0,2.721124425,0.0
Slovenia,0.820920928,6727.999302,17.6,0.1,99.5,7.9,0.199343827,2333.930529,1.58,81.07804878,71.59,24202.43084,7.525900637,61.95630828,53.557,0.749146999,0.0
South Africa,32.64602136,4198.401194,13.0,3.7,92.8,820.0,6.136020151,834.9838964,2.51,60.993,49.0,6429.02395,9.138428378,7.617736524,64.312,2.089121145,0.0
Spain,0.694297754,5355.987006,17.6,0.1,100.0,12.0,-0.150870313,2752.919984,1.32,83.22926829,76.19,29623.16445,6.466824593,36.75204461,79.366,1.096379934,0.0
Sri Lanka,2.681398812,531.0905766,14.0,0.1,95.6,65.0,3.179002282,339.9097564,2.083,74.906,25.8,3819.25353,0.694503117,33.11433739,18.218,0.645096382,0.0
Thailand,3.87185762,2539.611194,13.6,0.1,97.8,167.0,1.895141819,446.5967914,1.512,74.895,34.89,5953.793928,4.093346115,32.0401652,46.943,3.119280966,0.0
Trinidad and Tobago,29.90048675,7134.034654,12.7,0.3,95.1,21.0,5.684418146,1437.995562,1.778,70.426,65.1,20081.52191,33.84051927,45.39181298,53.413,0.162760426,0.0
Ukraine,6.338642687,3418.585024,15.2,0.2,96.3,94.0,12.07185629,520.2404039,1.498,71.18658537,46.23597546,3104.658296,6.373586771,16.63277494,68.968,-0.269436609,0.0
United Arab Emirates,0.672482575,11263.53192,13.3,0.1,99.6,0.76,2.346268657,2131.819532,1.783,76.948,90.4,44443.06151,21.67598161,4.527457175,85.375,8.389373907,0.0
Uruguay,7.8372977,3067.951126,15.5,0.1,99.6,29.0,8.877353332,1388.419888,2.019,77.19,61.46,16737.89827,2.13384792,10.41172443,94.945,0.481700012,0.0
Zambia,5.281360817,707.1902175,12.5,4.3,64.6,406.0,7.806875536,134.3618009,5.104,60.775,19.0,1738.088202,0.207792314,65.64737428,41.382,4.13769335,1.0
